id,action,action_classification,action_level,action_summary,authorities_link,country,create_date,data_notes,date,date_initiated_by_firm,date_posted,date_terminated,date_updated,determined_cause,documents,icij_notes,number,reason,source,status,target_audience,type,uid,uid_hash,url,slug,device_id,created_at,updated_at
1,,,,Recall,https://www.titck.gov.tr/,TUR,,,4/4/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/294   &   FA24MAR2016,41570514,https://web.archive.org/web/20170817053524/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-294%20SGB.pdf,tur-cell-dyn-emerald-cleanser,1,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
2,,,,Recall,https://www.titck.gov.tr/,TUR,,,9/20/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/844   &   FSCA2016-02,415f04f4,https://web.archive.org/web/20170817104322/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-844%20sgb.pdf,tur-tecnis-monofocal-1-piece-tecnis-1-piece-iol-with-the-tecnis-itec-preloaded-delivery-system,2,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
3,,,,Recall,https://www.titck.gov.tr/,TUR,,,5/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/437   &   2016018,2caa03df,https://web.archive.org/web/20170818050616/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-437-SGB.pdf,tur-centurion-fms-package-for-centurion-vision-system,3,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
4,,,,Recall,https://www.titck.gov.tr/,TUR,,,12/19/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/1188   &   002/AS60130/17.00,666f0625,https://web.archive.org/web/20171014025042/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-1188%20SGB.pdf,tur-focusforce-intraocular-foldable-lenses,4,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
5,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/20/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/242   &   02R06-21 / 02R06-31,6a8d063c,https://web.archive.org/web/20171014000531/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-242%20SGB.pdf,tur-cholesterol-hdl-direct,5,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
6,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/8/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/117   &   Afc-fsca-2015-001,6d9c06ff,https://web.archive.org/web/20170817123339/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-117-SGB.pdf,tur-blood-glucose-test-strip,6,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
7,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/26/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/70 & EIF1507-34,291a03fb,https://web.archive.org/web/20170817132536/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-70%20SGB.pdf,tur-super-arrow-flex-r-percutaneous-sheath-introducer-set,7,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
8,,,,Recall,https://www.titck.gov.tr/,TUR,,,8/16/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/156   &   EIF1507-33,3b7804af,https://web.archive.org/web/20170815184818/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-156%20SGB.pdf,tur-catheter-introducer,8,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
9,,,,Recall,https://www.titck.gov.tr/,TUR,,,4/28/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/156   &   EIF1507-33,3b7804af,https://web.archive.org/web/20170815184818/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-156%20SGB.pdf,tur-catheter-introducer-3b7804af,8,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
10,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/124   &   ASPENR1,2ee10470,https://web.archive.org/web/20170817112452/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-124-SGB.pdf,tur-22g-bi-manual-aspiration-pull-handle-0-38mm-port,9,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
